route_id,start_location,end_location,expected_distance_km,expected_duration_min,avg_fuel_consumed_liters,route_type,risk_score
R136,Milwaukee,Cleveland,269,360,34.14,Rural,19
R137,Madison,Detroit,118,222,43.9,Highway,82
R138,Milwaukee,Madison,96,584,47.23,Urban,98
R139,Chicago,Chicago,143,85,9.8,Urban,80
R140,St. Louis,Chicago,799,546,32.84,Highway,61
R141,Madison,Detroit,502,189,56.26,Urban,97
R142,Chicago,Detroit,253,245,22.64,Urban,72
R143,St. Louis,Detroit,267,505,37.66,Rural,25
R144,Milwaukee,St. Louis,523,591,25.31,Highway,65
R145,Chicago,Indianapolis,481,297,29.98,Highway,72
R146,Madison,Chicago,390,434,35.17,Highway,72
R147,Madison,St. Louis,600,300,35.19,Highway,39
R148,Indianapolis,Detroit,661,494,16.1,Rural,16
R149,Cleveland,Chicago,338,54,42.65,Rural,0
R150,Detroit,St. Louis,303,286,9.83,Urban,88
R151,St. Louis,Indianapolis,783,295,12.64,Urban,60
R152,Indianapolis,St. Louis,406,49,5.15,Urban,42
R153,Detroit,Indianapolis,72,163,11.42,Urban,41
R154,Detroit,Detroit,571,418,31.02,Rural,24
R155,Chicago,Indianapolis,149,109,38.34,Highway,38
R156,Detroit,Chicago,229,190,48.69,Rural,34
R157,Cleveland,Detroit,272,268,10.87,Urban,2
R158,Madison,Chicago,708,283,51.79,Rural,100
R159,Indianapolis,Cleveland,491,221,46.03,Highway,43
R160,Detroit,Milwaukee,657,326,27.47,Highway,50
R161,Chicago,Indianapolis,374,107,56.31,Rural,93
R162,Cleveland,Milwaukee,565,261,59.5,Rural,97
R163,Milwaukee,Milwaukee,65,505,16.28,Rural,11
R164,Madison,Indianapolis,385,149,25.86,Urban,18
R165,Madison,Detroit,307,143,55.95,Rural,100
R166,Indianapolis,Cleveland,546,555,44.69,Rural,43
R167,Madison,Chicago,209,429,7.65,Rural,58
R168,Detroit,St. Louis,524,449,47.98,Highway,48
R169,Chicago,Chicago,713,562,50.54,Highway,60
R170,Madison,St. Louis,739,520,46.28,Urban,16
R171,Madison,Chicago,724,481,48.97,Urban,73
R172,Milwaukee,Indianapolis,429,67,50.38,Highway,56
R173,Milwaukee,Cleveland,594,502,15.25,Highway,54
R174,St. Louis,St. Louis,740,127,17.96,Highway,46
R175,Cleveland,Madison,476,189,39.86,Rural,11
R176,Detroit,Detroit,662,129,54.93,Rural,61
R177,Madison,Chicago,317,122,22.39,Highway,79
R178,Madison,Chicago,626,501,37.36,Rural,87
R179,Chicago,St. Louis,466,45,42.56,Rural,82
R180,St. Louis,Detroit,217,95,29.86,Urban,7
R181,Cleveland,Detroit,92,490,44.26,Highway,94
R182,St. Louis,Indianapolis,605,493,54.48,Highway,20
R183,Indianapolis,Madison,334,532,39.33,Rural,80
R184,Cleveland,Indianapolis,446,78,34.69,Highway,86
R185,Madison,Indianapolis,61,392,29.13,Urban,100
R186,Madison,Indianapolis,656,139,36.76,Urban,79
R187,Cleveland,Indianapolis,351,116,24.54,Urban,69
R188,Madison,Indianapolis,302,595,26.53,Highway,71
R189,Detroit,Cleveland,548,198,34.25,Highway,24
R190,Cleveland,Detroit,84,294,8.66,Highway,81
R191,St. Louis,Indianapolis,776,482,17.6,Highway,88
R192,Cleveland,Detroit,139,162,34.86,Highway,11
R193,Madison,Detroit,654,350,28.73,Urban,14
R194,Detroit,Milwaukee,651,312,23.3,Rural,58
R195,Detroit,Cleveland,467,98,45.18,Urban,25
R196,Indianapolis,Indianapolis,164,280,43.15,Highway,25
R197,St. Louis,Chicago,666,433,14.17,Urban,46
R198,Milwaukee,St. Louis,245,445,53.32,Highway,31
R199,Milwaukee,Madison,550,347,32.25,Highway,9
R200,Cleveland,Chicago,675,251,45.78,Urban,15
