trip_id,route_id,driver_id,vehicle_id,start_time,end_time,start_location,end_location,distance_km,duration_min,route_deviation_flag,over_speed_events,harsh_brakes,rapid_accelerations,idle_time_min,fuel_used_liters,start_region,end_region,trip_status
T0067,R0067,D006,V002,2024-01-03 18:00:00,2024-01-03 19:00:00,North Ashleyfurt,East Anthony,251,105,0,4,0,2,53,16.13,,,Completed
T0068,R0068,D012,V008,2024-01-03 19:00:00,2024-01-03 20:00:00,Foxshire,Catherinebury,274,85,1,4,2,2,38,25.27,,,Completed
T0069,R0069,D012,V002,2024-01-03 20:00:00,2024-01-03 21:00:00,Brandonbury,East Grace,355,189,1,0,2,1,26,10.81,,,Completed
T0070,R0070,D007,V009,2024-01-03 21:00:00,2024-01-03 22:00:00,North Sarahborough,Christopherfort,62,64,0,2,0,0,9,47.93,,,Completed
T0071,R0071,D009,V003,2024-01-03 22:00:00,2024-01-03 23:00:00,Hebertland,New Meghan,395,81,0,1,1,0,25,32.28,,,Completed
T0072,R0072,D003,V003,2024-01-03 23:00:00,2024-01-04 00:00:00,Owenton,Josephstad,349,153,1,0,0,2,18,15.29,,,In Progress
T0073,R0073,D020,V008,2024-01-04 00:00:00,2024-01-04 01:00:00,Angelachester,Port Paul,101,47,0,1,2,0,38,35.23,,,In Progress
T0074,R0074,D006,V009,2024-01-04 01:00:00,2024-01-04 02:00:00,Lauraton,Taylorborough,376,127,0,1,2,2,2,32.82,,,Completed
T0075,R0075,D018,V003,2024-01-04 02:00:00,2024-01-04 03:00:00,Allisonland,North Ricky,453,63,1,2,1,0,44,21.12,,,Completed
T0076,R0076,D008,V005,2024-01-04 03:00:00,2024-01-04 04:00:00,Christianborough,West Stephaniebury,464,147,0,1,2,2,12,10.11,,,Completed
T0077,R0077,D006,V009,2024-01-04 04:00:00,2024-01-04 05:00:00,North Jessicaside,Port James,437,250,0,1,0,0,49,35.22,,,In Progress
T0078,R0078,D015,V010,2024-01-04 05:00:00,2024-01-04 06:00:00,Lopezhaven,South Michelle,273,209,1,2,1,1,27,28.41,,,Completed
T0079,R0079,D013,V007,2024-01-04 06:00:00,2024-01-04 07:00:00,New Colleen,Wattsmouth,440,244,1,1,0,0,57,39.75,,,Completed
T0080,R0080,D009,V004,2024-01-04 07:00:00,2024-01-04 08:00:00,New Kara,South Richard,44,140,0,1,0,0,19,28.41,,,Completed
T0081,R0081,D018,V009,2024-01-04 08:00:00,2024-01-04 09:00:00,Reeseshire,New Jillfurt,215,135,0,1,1,1,27,43.35,,,Completed
T0082,R0082,D008,V004,2024-01-04 09:00:00,2024-01-04 10:00:00,Emilychester,Phillipshire,90,252,1,0,0,0,7,29.84,,,Completed
T0083,R0083,D011,V005,2024-01-04 10:00:00,2024-01-04 11:00:00,East Lauraside,New Danielmouth,429,278,1,0,2,1,40,30.24,,,Completed
T0084,R0084,D002,V007,2024-01-04 11:00:00,2024-01-04 12:00:00,Wagnerburgh,East Aprilfurt,59,217,1,0,0,0,38,44.45,,,In Progress
T0085,R0085,D008,V006,2024-01-04 12:00:00,2024-01-04 13:00:00,Mahoneymouth,New Paulton,369,156,1,2,1,2,0,23.16,,,Completed
T0086,R0086,D002,V008,2024-01-04 13:00:00,2024-01-04 14:00:00,Meganchester,West Scott,397,184,0,4,1,2,2,11.03,,,Completed
T0087,R0087,D011,V009,2024-01-04 14:00:00,2024-01-04 15:00:00,Mckenziemouth,Kimport,11,244,1,1,1,0,12,6.3,,,Cancelled
T0088,R0088,D013,V008,2024-01-04 15:00:00,2024-01-04 16:00:00,New Amy,Jacksonport,399,253,1,1,0,0,27,38.98,,,Completed
T0089,R0089,D009,V002,2024-01-04 16:00:00,2024-01-04 17:00:00,Cannonview,Lake Zacharyberg,63,191,0,2,1,0,56,32.91,,,Completed
T0090,R0090,D003,V004,2024-01-04 17:00:00,2024-01-04 18:00:00,Suzannemouth,Gallegosmouth,115,171,1,1,1,2,59,36.68,,,Completed
T0091,R0091,D007,V004,2024-01-04 18:00:00,2024-01-04 19:00:00,Smithton,Lake Vincentburgh,269,179,0,0,0,0,48,14.58,,,Completed
T0092,R0092,D019,V002,2024-01-04 19:00:00,2024-01-04 20:00:00,Caitlinhaven,South Robert,319,115,1,4,2,2,24,11.14,,,Completed
T0093,R0093,D011,V006,2024-01-04 20:00:00,2024-01-04 21:00:00,West Adam,Johnsonmouth,486,252,1,3,0,1,55,5.65,,,In Progress
T0094,R0094,D007,V001,2024-01-04 21:00:00,2024-01-04 22:00:00,East Melissa,South Christopher,200,199,1,1,1,2,32,20.78,,,Completed
T0095,R0095,D016,V010,2024-01-04 22:00:00,2024-01-04 23:00:00,Port Lynnview,Heatherburgh,411,132,0,0,1,2,37,31.55,,,Completed
T0096,R0096,D013,V009,2024-01-04 23:00:00,2024-01-05 00:00:00,North Benjamin,North Dannymouth,227,71,0,3,0,1,52,22.65,,,Completed
T0097,R0097,D015,V004,2024-01-05 00:00:00,2024-01-05 01:00:00,Ericview,Christopherfurt,53,287,1,4,2,2,5,24.69,,,Cancelled
T0098,R0098,D005,V010,2024-01-05 01:00:00,2024-01-05 02:00:00,Pamelabury,South Andrea,171,132,0,3,1,0,57,45.69,,,Completed
T0099,R0099,D009,V004,2024-01-05 02:00:00,2024-01-05 03:00:00,West Lisa,Port Georgemouth,211,120,0,0,1,0,43,20.67,,,Cancelled
T0100,R0100,D005,V001,2024-01-05 03:00:00,2024-01-05 04:00:00,New Ricardoborough,East Misty,455,132,0,3,1,2,44,28.13,,,In Progress
