event_id,trip_id,event_type,timestamp,location,severity
E0073,T0051,Harsh Brake,2024-01-04 00:00:00,Stevenland,Medium
E0074,T0062,Rapid Acceleration,2024-01-04 01:00:00,East Thomasland,High
E0075,T0057,Rapid Acceleration,2024-01-04 02:00:00,Chloemouth,Low
E0076,T0066,Overspeed,2024-01-04 03:00:00,South Shawnfort,Low
E0077,T0079,Overspeed,2024-01-04 04:00:00,Robertport,High
E0078,T0075,Harsh Brake,2024-01-04 05:00:00,Garyport,Medium
E0079,T0008,Rapid Acceleration,2024-01-04 06:00:00,Bryanfort,High
E0080,T0026,Rapid Acceleration,2024-01-04 07:00:00,New Brett,High
E0081,T0051,Rapid Acceleration,2024-01-04 08:00:00,Lisatown,High
E0082,T0045,Overspeed,2024-01-04 09:00:00,Toddberg,Low
E0083,T0044,Overspeed,2024-01-04 10:00:00,Port Kristenview,High
E0084,T0005,Rapid Acceleration,2024-01-04 11:00:00,New Juan,Low
E0085,T0070,Rapid Acceleration,2024-01-04 12:00:00,Alexisville,Low
E0086,T0026,Rapid Acceleration,2024-01-04 13:00:00,New Joanne,Low
E0087,T0068,Overspeed,2024-01-04 14:00:00,Woodburgh,Medium
E0088,T0019,Rapid Acceleration,2024-01-04 15:00:00,Kimberlybury,Low
E0089,T0084,Rapid Acceleration,2024-01-04 16:00:00,Whitehaven,Low
E0090,T0097,Harsh Brake,2024-01-04 17:00:00,West Traceyberg,Medium
E0091,T0020,Harsh Brake,2024-01-04 18:00:00,Port Tyler,Low
E0092,T0012,Overspeed,2024-01-04 19:00:00,Townsendbury,High
E0093,T0047,Rapid Acceleration,2024-01-04 20:00:00,Barberburgh,High
E0094,T0001,Rapid Acceleration,2024-01-04 21:00:00,New Jessica,Low
E0095,T0090,Harsh Brake,2024-01-04 22:00:00,Brianview,Medium
E0096,T0014,Overspeed,2024-01-04 23:00:00,North Garyfurt,High
E0097,T0064,Harsh Brake,2024-01-05 00:00:00,Turnerside,Medium
E0098,T0038,Harsh Brake,2024-01-05 01:00:00,South Frances,Medium
E0099,T0037,Harsh Brake,2024-01-05 02:00:00,Wellsberg,High
E0100,T0011,Harsh Brake,2024-01-05 03:00:00,Smithmouth,Medium
