trip_id,driver_id,vehicle_id,start_time,end_time,start_location,end_location,distance_km,duration_min,route_deviation_flag,over_speed_events,harsh_brakes,rapid_accelerations,idle_time_min,fuel_used_liters
T0023,D014,V007,2024-01-01 22:00:00,2024-01-01 23:00:00,Kristifort,North Emilychester,267,100,0,3,1,2,28,13.47
T0024,D008,V010,2024-01-01 23:00:00,2024-01-02 00:00:00,Steventon,Michaelmouth,353,182,1,0,2,0,42,25.87
T0025,D015,V008,2024-01-02 00:00:00,2024-01-02 01:00:00,Christopherberg,Brittneytown,423,280,0,3,0,0,10,20.9
T0026,D019,V009,2024-01-02 01:00:00,2024-01-02 02:00:00,West Kimberlyland,Garystad,303,250,0,0,0,1,17,31.26
T0027,D009,V005,2024-01-02 02:00:00,2024-01-02 03:00:00,Whiteview,Hansonmouth,395,60,1,4,0,2,46,8.5
T0028,D001,V009,2024-01-02 03:00:00,2024-01-02 04:00:00,Claytonville,Port Jesusstad,201,47,0,3,0,0,11,48.85
T0029,D006,V001,2024-01-02 04:00:00,2024-01-02 05:00:00,South Kelsey,Port Jessica,453,154,0,2,2,0,8,49.38
T0030,D014,V002,2024-01-02 05:00:00,2024-01-02 06:00:00,Wrightton,North Jodibury,286,220,0,0,1,2,9,36.42
T0031,D011,V009,2024-01-02 06:00:00,2024-01-02 07:00:00,South Jill,Port Marissa,170,287,1,0,0,1,57,29.12
T0032,D009,V005,2024-01-02 07:00:00,2024-01-02 08:00:00,New Elizabethborough,Alexanderville,469,52,1,3,1,1,43,18.93
T0033,D005,V006,2024-01-02 08:00:00,2024-01-02 09:00:00,Priceport,Shannontown,323,67,0,2,2,0,16,41.62
T0034,D007,V002,2024-01-02 09:00:00,2024-01-02 10:00:00,Ericton,Jasonside,31,81,1,2,2,2,37,35.81
T0035,D011,V005,2024-01-02 10:00:00,2024-01-02 11:00:00,West Timothyport,East Amy,262,235,1,4,2,1,6,12.32
T0036,D004,V007,2024-01-02 11:00:00,2024-01-02 12:00:00,West Paige,Anaberg,245,118,1,2,0,2,45,45.99
T0037,D003,V003,2024-01-02 12:00:00,2024-01-02 13:00:00,North Joel,South Brandyhaven,354,191,1,2,1,2,12,42.01
T0038,D013,V008,2024-01-02 13:00:00,2024-01-02 14:00:00,Nguyenburgh,West Georgeport,58,233,0,2,1,0,39,47.74
T0039,D004,V001,2024-01-02 14:00:00,2024-01-02 15:00:00,Brendafurt,Port Heather,484,54,0,1,1,1,41,37.66
T0040,D012,V005,2024-01-02 15:00:00,2024-01-02 16:00:00,North Tanya,Briantown,68,246,1,4,2,0,8,32.6
T0041,D012,V009,2024-01-02 16:00:00,2024-01-02 17:00:00,Barkerberg,South Donnastad,179,120,1,0,0,1,49,23.82
T0042,D020,V003,2024-01-02 17:00:00,2024-01-02 18:00:00,Kellibury,North Kellyfurt,485,150,0,3,2,1,26,46.97
T0043,D009,V009,2024-01-02 18:00:00,2024-01-02 19:00:00,South Christopher,South William,197,276,0,0,2,1,57,43.97
T0044,D002,V002,2024-01-02 19:00:00,2024-01-02 20:00:00,Sarahton,West Toddside,473,24,1,4,1,1,1,7.03
T0045,D015,V005,2024-01-02 20:00:00,2024-01-02 21:00:00,West Deannaside,East Jamesmouth,280,237,0,3,2,1,4,6.19
T0046,D018,V009,2024-01-02 21:00:00,2024-01-02 22:00:00,East Tonymouth,North Johnhaven,199,274,1,4,1,2,28,21.94
T0047,D004,V010,2024-01-02 22:00:00,2024-01-02 23:00:00,Lindamouth,Matthewfurt,455,226,1,2,0,0,36,41.47
T0048,D013,V004,2024-01-02 23:00:00,2024-01-03 00:00:00,North Hannah,North Michael,184,34,0,3,1,2,37,49.43
T0049,D003,V003,2024-01-03 00:00:00,2024-01-03 01:00:00,Jenniferview,Michaelport,455,61,0,2,0,1,18,11.77
T0050,D018,V006,2024-01-03 01:00:00,2024-01-03 02:00:00,South Jasmineside,New Joshua,60,198,1,0,1,0,7,31.74
T0051,D010,V003,2024-01-03 02:00:00,2024-01-03 03:00:00,Amyfort,Lake Jonathanfurt,373,82,1,0,2,1,47,22.14
T0052,D020,V009,2024-01-03 03:00:00,2024-01-03 04:00:00,New Jacob,New Stacybury,64,250,0,3,2,0,44,48.65
T0053,D012,V009,2024-01-03 04:00:00,2024-01-03 05:00:00,Mariomouth,West Penny,253,260,1,3,0,2,0,42.9
T0054,D019,V001,2024-01-03 05:00:00,2024-01-03 06:00:00,Mikaylaside,North Jessica,329,71,0,4,0,0,21,42.72
T0055,D007,V010,2024-01-03 06:00:00,2024-01-03 07:00:00,North Amanda,South John,140,115,1,4,0,0,51,26.09
T0056,D003,V006,2024-01-03 07:00:00,2024-01-03 08:00:00,Phillipsview,South Tara,494,241,0,2,1,0,16,23.67
T0057,D002,V008,2024-01-03 08:00:00,2024-01-03 09:00:00,Shawnhaven,Shaneberg,316,250,0,3,1,0,6,17.3
T0058,D008,V001,2024-01-03 09:00:00,2024-01-03 10:00:00,Grosstown,Lake Dillon,144,256,0,0,0,0,24,7.54
T0059,D010,V002,2024-01-03 10:00:00,2024-01-03 11:00:00,Kimberlybury,Port Devin,30,162,1,4,2,1,44,43.91
T0060,D003,V006,2024-01-03 11:00:00,2024-01-03 12:00:00,Jenniferside,South Wendy,338,190,1,4,1,0,3,41.58
T0061,D008,V005,2024-01-03 12:00:00,2024-01-03 13:00:00,Leefort,Lake Sarah,176,48,0,0,1,0,35,49.99
T0062,D004,V004,2024-01-03 13:00:00,2024-01-03 14:00:00,New Justin,West Carlos,283,55,1,4,1,2,5,49.85
T0063,D013,V001,2024-01-03 14:00:00,2024-01-03 15:00:00,Davidsonville,East Lonnieberg,397,32,0,2,0,0,59,29.99
T0064,D009,V004,2024-01-03 15:00:00,2024-01-03 16:00:00,New Donnaton,Port Lucaschester,98,179,0,3,0,2,30,39.6
T0065,D015,V010,2024-01-03 16:00:00,2024-01-03 17:00:00,East Morgan,Turnerview,325,206,1,0,0,1,18,47.51
T0066,D012,V002,2024-01-03 17:00:00,2024-01-03 18:00:00,North Todd,Port Jacob,23,262,1,3,0,0,43,43.23
T0067,D006,V002,2024-01-03 18:00:00,2024-01-03 19:00:00,North Ashleyfurt,East Anthony,251,105,0,4,0,2,53,16.13
T0068,D012,V008,2024-01-03 19:00:00,2024-01-03 20:00:00,Foxshire,Catherinebury,274,85,1,4,2,2,38,25.27
T0069,D012,V002,2024-01-03 20:00:00,2024-01-03 21:00:00,Brandonbury,East Grace,355,189,1,0,2,1,26,10.81
T0070,D007,V009,2024-01-03 21:00:00,2024-01-03 22:00:00,North Sarahborough,Christopherfort,62,64,0,2,0,0,9,47.93
T0071,D009,V003,2024-01-03 22:00:00,2024-01-03 23:00:00,Hebertland,New Meghan,395,81,0,1,1,0,25,32.28
T0072,D003,V003,2024-01-03 23:00:00,2024-01-04 00:00:00,Owenton,Josephstad,349,153,1,0,0,2,18,15.29
T0073,D020,V008,2024-01-04 00:00:00,2024-01-04 01:00:00,Angelachester,Port Paul,101,47,0,1,2,0,38,35.23
T0074,D006,V009,2024-01-04 01:00:00,2024-01-04 02:00:00,Lauraton,Taylorborough,376,127,0,1,2,2,2,32.82
T0075,D018,V003,2024-01-04 02:00:00,2024-01-04 03:00:00,Allisonland,North Ricky,453,63,1,2,1,0,44,21.12
T0076,D008,V005,2024-01-04 03:00:00,2024-01-04 04:00:00,Christianborough,West Stephaniebury,464,147,0,1,2,2,12,10.11
T0077,D006,V009,2024-01-04 04:00:00,2024-01-04 05:00:00,North Jessicaside,Port James,437,250,0,1,0,0,49,35.22
T0078,D015,V010,2024-01-04 05:00:00,2024-01-04 06:00:00,Lopezhaven,South Michelle,273,209,1,2,1,1,27,28.41
T0079,D013,V007,2024-01-04 06:00:00,2024-01-04 07:00:00,New Colleen,Wattsmouth,440,244,1,1,0,0,57,39.75
T0080,D009,V004,2024-01-04 07:00:00,2024-01-04 08:00:00,New Kara,South Richard,44,140,0,1,0,0,19,28.41
T0081,D018,V009,2024-01-04 08:00:00,2024-01-04 09:00:00,Reeseshire,New Jillfurt,215,135,0,1,1,1,27,43.35
T0082,D008,V004,2024-01-04 09:00:00,2024-01-04 10:00:00,Emilychester,Phillipshire,90,252,1,0,0,0,7,29.84
T0083,D011,V005,2024-01-04 10:00:00,2024-01-04 11:00:00,East Lauraside,New Danielmouth,429,278,1,0,2,1,40,30.24
T0084,D002,V007,2024-01-04 11:00:00,2024-01-04 12:00:00,Wagnerburgh,East Aprilfurt,59,217,1,0,0,0,38,44.45
T0085,D008,V006,2024-01-04 12:00:00,2024-01-04 13:00:00,Mahoneymouth,New Paulton,369,156,1,2,1,2,0,23.16
T0086,D002,V008,2024-01-04 13:00:00,2024-01-04 14:00:00,Meganchester,West Scott,397,184,0,4,1,2,2,11.03
T0087,D011,V009,2024-01-04 14:00:00,2024-01-04 15:00:00,Mckenziemouth,Kimport,11,244,1,1,1,0,12,6.3
T0088,D013,V008,2024-01-04 15:00:00,2024-01-04 16:00:00,New Amy,Jacksonport,399,253,1,1,0,0,27,38.98
T0089,D009,V002,2024-01-04 16:00:00,2024-01-04 17:00:00,Cannonview,Lake Zacharyberg,63,191,0,2,1,0,56,32.91
T0090,D003,V004,2024-01-04 17:00:00,2024-01-04 18:00:00,Suzannemouth,Gallegosmouth,115,171,1,1,1,2,59,36.68
T0091,D007,V004,2024-01-04 18:00:00,2024-01-04 19:00:00,Smithton,Lake Vincentburgh,269,179,0,0,0,0,48,14.58
T0092,D019,V002,2024-01-04 19:00:00,2024-01-04 20:00:00,Caitlinhaven,South Robert,319,115,1,4,2,2,24,11.14
T0093,D011,V006,2024-01-04 20:00:00,2024-01-04 21:00:00,West Adam,Johnsonmouth,486,252,1,3,0,1,55,5.65
T0094,D007,V001,2024-01-04 21:00:00,2024-01-04 22:00:00,East Melissa,South Christopher,200,199,1,1,1,2,32,20.78
T0095,D016,V010,2024-01-04 22:00:00,2024-01-04 23:00:00,Port Lynnview,Heatherburgh,411,132,0,0,1,2,37,31.55
T0096,D013,V009,2024-01-04 23:00:00,2024-01-05 00:00:00,North Benjamin,North Dannymouth,227,71,0,3,0,1,52,22.65
T0097,D015,V004,2024-01-05 00:00:00,2024-01-05 01:00:00,Ericview,Christopherfurt,53,287,1,4,2,2,5,24.69
T0098,D005,V010,2024-01-05 01:00:00,2024-01-05 02:00:00,Pamelabury,South Andrea,171,132,0,3,1,0,57,45.69
T0099,D009,V004,2024-01-05 02:00:00,2024-01-05 03:00:00,West Lisa,Port Georgemouth,211,120,0,0,1,0,43,20.67
T0100,D005,V001,2024-01-05 03:00:00,2024-01-05 04:00:00,New Ricardoborough,East Misty,455,132,0,3,1,2,44,28.13
