incident_id,driver_id,trip_id,incident_type,description,report_date,status
I0050,D019,T0031,Other,Official need discover in.,2024-02-19,Under Review
I0051,D014,T0006,Vehicle damage,Majority yet option student evidence role save.,2024-02-20,Open
I0052,D002,T0091,Other,Easy its develop until watch.,2024-02-21,Open
I0053,D001,T0040,Minor collision,Together individual analysis yard safe mean international.,2024-02-22,Under Review
I0054,D018,T0098,Other,Look something start laugh drive next.,2024-02-23,Closed
I0055,D007,T0012,Vehicle damage,Really image design.,2024-02-24,Open
I0056,D008,T0053,Minor collision,Fast positive before look fight reflect.,2024-02-25,Open
I0057,D001,T0071,Vehicle damage,Section agency lawyer sign them if smile.,2024-02-26,Open
I0058,D003,T0010,Vehicle damage,Phone region ability physical his real.,2024-02-27,Under Review
I0059,D008,T0045,Other,Allow international especially watch my some skin.,2024-02-28,Closed
I0060,D015,T0017,Vehicle damage,Per friend usually method.,2024-02-29,Under Review
I0061,D005,T0026,Other,Thousand book half people half compare.,2024-03-01,Under Review
I0062,D003,T0085,Minor collision,Relate night similar catch friend much power.,2024-03-02,Closed
I0063,D019,T0092,Other,That reflect send set fly today me institution.,2024-03-03,Under Review
I0064,D001,T0062,Minor collision,As generation main.,2024-03-04,Closed
I0065,D015,T0046,Other,Stop like mother stay tonight later happy.,2024-03-05,Open
I0066,D008,T0064,Vehicle damage,Could this beautiful hospital.,2024-03-06,Closed
I0067,D002,T0002,Other,Eye what body every.,2024-03-07,Open
I0068,D003,T0054,Other,Many themselves minute physical.,2024-03-08,Under Review
I0069,D014,T0065,Minor collision,Indicate radio use listen information.,2024-03-09,Under Review
I0070,D014,T0051,Vehicle damage,Factor as the.,2024-03-10,Open
I0071,D011,T0053,Other,Strong mind from official pretty.,2024-03-11,Under Review
I0072,D016,T0036,Vehicle damage,Main program morning nature leader note.,2024-03-12,Closed
I0073,D004,T0026,Other,Commercial employee machine wife show.,2024-03-13,Open
I0074,D020,T0029,Other,Chance expect what.,2024-03-14,Under Review
I0075,D005,T0021,Vehicle damage,Under Republican expect win stuff realize project child.,2024-03-15,Open
I0076,D014,T0011,Other,Bring year off kid hard.,2024-03-16,Closed
I0077,D016,T0040,Vehicle damage,None alone first gas health.,2024-03-17,Closed
I0078,D018,T0011,Other,Wish move building agent use shoulder way.,2024-03-18,Under Review
I0079,D007,T0036,Minor collision,Choose wife national medical positive far.,2024-03-19,Closed
I0080,D010,T0059,Vehicle damage,Wide senior yes project son.,2024-03-20,Open
I0081,D007,T0039,Other,Full both look always question bring.,2024-03-21,Closed
I0082,D001,T0099,Other,Husband subject land.,2024-03-22,Open
I0083,D019,T0054,Minor collision,For part crime money.,2024-03-23,Open
I0084,D016,T0098,Vehicle damage,Cultural base support quality whatever.,2024-03-24,Closed
I0085,D019,T0055,Other,Hour make owner memory argue project huge.,2024-03-25,Under Review
I0086,D004,T0024,Minor collision,Hard health expect goal within them.,2024-03-26,Closed
I0087,D018,T0022,Other,Democratic thousand score indeed.,2024-03-27,Open
I0088,D002,T0069,Vehicle damage,Eye south wife interest to cause.,2024-03-28,Open
I0089,D001,T0056,Other,Our century field write moment friend value opportunity.,2024-03-29,Closed
I0090,D015,T0033,Other,Because important trial increase new report.,2024-03-30,Under Review
I0091,D005,T0036,Other,Current strategy face make.,2024-03-31,Under Review
I0092,D020,T0020,Other,Strong fight nice less agree.,2024-04-01,Open
I0093,D011,T0083,Minor collision,Child feel policy.,2024-04-02,Open
I0094,D010,T0099,Minor collision,Buy program explain conference trade population agreement.,2024-04-03,Under Review
I0095,D002,T0081,Vehicle damage,Manage wife out gun lose.,2024-04-04,Closed
I0096,D003,T0062,Minor collision,Than physical live reason build mention.,2024-04-05,Open
I0097,D012,T0098,Minor collision,Adult employee ok certainly leave really group.,2024-04-06,Open
I0098,D020,T0073,Vehicle damage,Evening information treatment.,2024-04-07,Under Review
I0099,D005,T0026,Minor collision,Any factor police baby create physical.,2024-04-08,Closed
I0100,D005,T0066,Minor collision,Out cold follow first.,2024-04-09,Under Review
